Status,ID,Application_order,Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_credited,Curricular_units_approved,Curricular_units_enrolled,Curricular_units_evaluations,Curricular_units_without_evaluations,Curricular_units_grade,Marital_status,Application_mode,Course,Daytime_evening_attendance,Previous_qualification,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder
Graduate,1293,5,124.0,119.5,20,0,10,10,10,0,16.200000000000003,Single,General Continent,Technology and Engineering,1,02,05,01,Professionals and Specialists,Unskilled Workers,0,1,1,0
Dropout,1294,1,168.0,153.9,34,0,0,12,7,0,0.0,In Relationship,Other,Agriculture and Environtment,1,02,02,07,Unskilled Workers,Intermediate Level Technicians and Professions,1,0,1,0
Dropout,1295,1,133.1,130.0,24,0,1,11,19,0,5.0,In Relationship,Other,Social Services and Management,0,01,02,02,Administrative Staff,Administrative Staff,0,1,1,0
Dropout,1296,2,150.0,107.0,26,0,0,10,10,0,0.0,Single,Other,Social Services and Management,1,02,00,00,Students,Students,0,1,1,0
Dropout,1297,1,140.0,132.8,35,0,9,14,19,0,12.49,Single,Other,Health and Care,1,02,01,01,Unskilled Workers,Agricultural and Forestry Workers,0,1,1,0
Graduate,1298,1,145.0,127.5,22,0,10,10,16,1,12.114285714285714,Single,General Continent,Social Services and Management,0,02,04,01,Administrative Staff,Unskilled Workers,0,1,1,0
Enrolled,1299,1,118.0,123.3,26,0,7,12,21,0,11.0,Single,General Continent,Agriculture and Environtment,1,02,01,01,Service Workers and Sellers,Service Workers and Sellers,0,1,1,0
Dropout,1300,1,123.0,122.0,19,0,3,10,12,0,6.166666666666667,Single,General Continent,Social Services and Management,1,02,02,02,Intermediate Level Technicians and Professions,Administrative Staff,0,1,1,0
Dropout,1301,5,120.0,114.8,19,0,0,12,0,0,0.0,Single,General Continent,Agriculture and Environtment,1,02,03,02,Intermediate Level Technicians and Professions,Unskilled Workers,0,0,1,0
Graduate,1302,1,140.0,140.0,20,0,0,0,0,0,0.0,Single,Other,Design and Creativity,1,03,03,03,Professionals and Specialists,Professionals and Specialists,1,1,1,0
Graduate,1303,1,126.0,111.0,21,7,18,19,21,0,12.716666666666667,Single,Transfer and Change,Social Services and Management,1,02,03,03,Professionals and Specialists,Armed Forces Professions,1,1,1,0
Graduate,1304,2,137.0,133.2,19,0,12,12,13,0,14.857142857142858,Single,General Continent,Social Services and Management,1,02,02,02,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1305,3,130.0,123.0,18,0,12,12,13,0,12.75,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,1306,1,150.0,150.0,23,12,22,22,26,0,13.842307692307692,Single,Other,Agriculture and Environtment,1,04,02,01,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,0,1,0,1
Graduate,1307,3,147.0,132.3,18,0,10,10,11,0,12.8,Single,General Continent,Social Services and Management,1,02,02,01,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1308,1,140.0,126.0,18,0,14,16,16,0,13.314285714285717,Single,General Continent,Health and Care,1,02,01,01,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,1309,3,132.0,119.3,19,0,14,16,16,0,11.98857142857143,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,1310,1,130.0,133.8,21,9,19,20,30,0,12.217171717171716,Single,Other,Social Services and Management,1,04,02,02,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,1311,1,130.0,126.5,18,0,12,12,21,0,15.16826923076923,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Agricultural and Forestry Workers,0,1,0,1
Graduate,1312,1,151.0,138.4,24,0,12,12,13,0,13.25,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Service Workers and Sellers,0,1,0,1
Dropout,1313,4,144.0,129.0,18,0,15,15,17,0,13.030555555555555,Single,General Continent,Health and Care,1,02,03,07,Professionals and Specialists,Intermediate Level Technicians and Professions,0,1,0,0
Enrolled,1314,1,127.0,118.3,18,0,9,12,17,0,12.166666666666668,Single,General Continent,Social Services and Management,1,02,02,02,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,1315,2,131.0,129.8,20,0,13,15,18,0,14.51,Single,General Continent,Health and Care,1,02,02,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Enrolled,1316,2,123.0,113.6,19,0,7,10,21,2,11.875,Single,General Continent,Health and Care,1,02,02,02,Administrative Staff,Unskilled Workers,0,1,0,0
Dropout,1317,5,130.0,128.3,18,0,6,12,27,0,11.333333333333332,Single,General Continent,Social Services and Management,1,02,00,01,Students,Installation and Machine Operators and Assembly Workers,0,0,0,1
Dropout,1318,1,130.0,130.0,19,0,7,12,25,0,11.5,Single,Transfer and Change,Agriculture and Environtment,1,02,02,02,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1319,2,131.0,121.9,19,0,10,12,17,0,11.899999999999999,Single,General Continent,Basic Education,1,02,02,01,Administrative Staff,Installation and Machine Operators and Assembly Workers,0,1,0,0
Graduate,1320,5,135.0,129.4,18,0,12,12,12,0,12.25,Single,General Continent,Social Services and Management,1,03,02,01,Unskilled Workers,Intermediate Level Technicians and Professions,1,1,0,0
Enrolled,1321,2,123.0,115.3,20,0,12,14,16,0,13.75,Single,General Continent,Basic Education,1,02,02,02,Unskilled Workers,Armed Forces Professions,0,1,0,0
Graduate,1322,5,145.0,125.5,18,0,16,16,16,0,13.76375,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,1
Graduate,1323,6,118.0,117.8,19,0,12,14,19,0,12.600000000000001,Single,General Continent,Health and Care,1,02,01,01,Service Workers and Sellers,Service Workers and Sellers,0,1,0,1
Enrolled,1324,3,125.0,118.7,18,0,6,10,27,0,11.333333333333332,Single,General Continent,Social Services and Management,1,02,03,01,Professionals and Specialists,Armed Forces Professions,0,1,0,0
Graduate,1325,2,152.0,139.0,18,0,12,14,14,0,14.333333333333334,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Enrolled,1326,1,101.0,98.9,21,0,6,12,25,0,12.583333333333332,Single,General Continent,Health and Care,1,02,02,01,Administrative Staff,Unskilled Workers,0,1,0,0
Dropout,1327,1,137.0,137.7,19,0,1,12,27,0,5.0,Single,General Continent,Agriculture and Environtment,1,02,00,01,Students,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,0,0
Graduate,1328,4,123.0,113.6,21,0,15,15,17,0,14.659236111111111,Single,General Continent,Health and Care,1,02,02,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,0,0
Enrolled,1329,1,120.0,113.4,18,0,7,12,31,0,12.625,Single,General Continent,Health and Care,1,02,05,02,Professionals and Specialists,Unskilled Workers,0,1,0,0
Graduate,1330,3,131.0,128.5,18,0,15,15,17,0,13.384027777777778,Single,General Continent,Health and Care,1,02,02,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1331,1,141.0,142.8,18,0,15,15,16,0,13.847222222222221,Single,General Continent,Health and Care,1,02,02,02,Intermediate Level Technicians and Professions,Armed Forces Professions,0,1,0,0
Dropout,1332,1,144.0,137.7,23,1,1,10,19,6,6.0,Single,General Continent,Agriculture and Environtment,1,02,03,02,Professionals and Specialists,Intermediate Level Technicians and Professions,0,0,0,0
Enrolled,1333,1,107.0,103.5,20,0,7,12,22,0,11.6,Single,General Continent,Social Services and Management,1,02,02,01,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,1334,1,133.0,123.2,18,0,15,15,16,0,13.30952380952381,Single,General Continent,Health and Care,1,02,01,01,Service Workers and Sellers,Service Workers and Sellers,0,1,0,0
Enrolled,1335,2,126.0,126.0,19,0,10,12,17,0,11.7,Single,General Continent,Basic Education,1,02,02,02,Professionals and Specialists,Armed Forces Professions,0,1,0,0
Enrolled,1336,1,133.1,121.7,27,0,12,14,17,0,12.142857142857142,Single,Other,Health and Care,1,02,02,01,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Enrolled,1337,1,147.0,142.8,19,0,9,10,10,0,12.4,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Agricultural and Forestry Workers,1,0,0,1
Dropout,1338,1,120.0,120.0,21,0,10,12,27,2,11.25,Single,Transfer and Change,Agriculture and Environtment,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,1339,1,130.0,119.3,19,0,14,16,16,0,11.4,Single,General Continent,Health and Care,1,02,01,01,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,0,1,0,1
Graduate,1340,1,120.0,121.0,21,5,12,12,14,0,11.833333333333334,Single,Other,Social Services and Management,1,02,01,01,Agricultural and Forestry Workers,Unskilled Workers,0,1,0,1
Graduate,1341,5,138.0,139.4,18,0,9,12,17,0,12.5,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,1342,1,124.0,113.9,20,0,9,10,16,2,13.5,Single,General Continent,Health and Care,1,02,02,01,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1343,1,133.0,124.6,18,0,10,12,17,0,13.25,Single,General Continent,Basic Education,1,02,01,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Dropout,1344,1,122.0,123.8,18,0,12,12,14,0,11.416666666666668,Single,General Continent,Design and Creativity,1,02,02,02,Administrative Staff,Installation and Machine Operators and Assembly Workers,1,0,0,1
Graduate,1345,3,138.0,126.3,18,0,12,12,17,0,13.666666666666668,Single,General Continent,Health and Care,1,02,02,03,Administrative Staff,Administrative Staff,0,1,0,0
Graduate,1346,4,134.0,120.4,18,0,12,12,12,0,12.916666666666668,Single,General Continent,Social Services and Management,1,02,02,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,0,1
Enrolled,1347,3,128.0,120.5,19,0,12,14,17,0,12.77,Single,General Continent,Health and Care,1,02,02,02,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Enrolled,1348,1,140.0,144.9,23,11,19,20,33,0,13.25,Single,Other,Health and Care,1,04,02,01,Installation and Machine Operators and Assembly Workers,Unskilled Workers,1,0,0,0
Graduate,1349,1,133.1,139.9,24,1,12,12,18,0,12.666666666666668,Single,Other,Health and Care,1,01,02,02,Administrative Staff,Unskilled Workers,0,1,0,1
Graduate,1350,1,142.0,133.3,19,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,0,0
Graduate,1351,3,141.0,126.0,18,0,14,16,16,0,15.657142857142857,Single,General Continent,Health and Care,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,1352,2,145.0,133.5,19,0,12,12,12,0,11.75,Single,General Continent,Design and Creativity,1,02,02,02,Administrative Staff,Intermediate Level Technicians and Professions,0,1,0,0
Dropout,1353,2,145.0,127.9,19,0,0,12,0,0,0.0,Single,General Continent,Basic Education,1,02,01,02,Administrative Staff,Unskilled Workers,0,1,0,0
Enrolled,1354,1,108.0,105.9,20,0,10,12,20,0,10.883333333333333,Single,General Continent,Social Services and Management,1,02,02,01,Service Workers and Sellers,Installation and Machine Operators and Assembly Workers,0,1,0,1
Enrolled,1355,1,132.0,124.3,20,0,11,12,21,0,13.047619047619047,Single,General Continent,Health and Care,1,02,02,01,Administrative Staff,Service Workers and Sellers,0,1,0,0
Dropout,1356,1,140.0,102.5,26,0,4,12,20,0,5.875,Single,Other,Social Services and Management,1,02,00,01,Students,Students,0,1,0,0
Dropout,1357,1,133.1,97.0,36,0,0,10,15,0,0.0,Single,Other,Agriculture and Environtment,1,01,02,02,Unskilled Workers,Service Workers and Sellers,1,0,1,0
Dropout,1358,1,128.0,134.7,19,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,02,Administrative Staff,Armed Forces Professions,0,0,1,0
Dropout,1359,1,120.0,113.8,27,0,0,10,0,0,0.0,Single,Transfer and Change,Technology and Engineering,1,02,02,01,Unskilled Workers,Unskilled Workers,0,0,1,0
Dropout,1360,4,120.0,116.9,18,0,1,10,14,0,6.5,Single,General Continent,Technology and Engineering,1,02,03,02,Professionals and Specialists,Service Workers and Sellers,0,1,1,0
Graduate,1361,4,139.0,124.0,18,0,14,16,16,0,13.331428571428573,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,1,1
Dropout,1362,1,139.3,117.5,28,0,0,12,0,0,0.0,Single,Other,Design and Creativity,1,02,01,01,Service Workers and Sellers,Service Workers and Sellers,0,1,1,0
Graduate,1363,1,150.0,154.8,21,0,0,0,0,0,0.0,Single,Other,Design and Creativity,1,03,02,02,Unskilled Workers,Unskilled Workers,0,1,1,0
Graduate,1364,1,138.0,141.0,19,0,12,14,14,0,13.7,Single,General Continent,Health and Care,1,02,02,01,Administrative Staff,Unskilled Workers,0,1,1,0
Dropout,1365,1,133.1,120.0,26,0,0,10,10,5,0.0,Single,Other,Social Services and Management,1,01,07,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,1,0,1,0
Dropout,1366,1,136.0,133.6,20,6,15,16,21,0,13.664772727272728,Single,Transfer and Change,Technology and Engineering,1,02,02,02,Intermediate Level Technicians and Professions,Service Workers and Sellers,0,1,1,0
Graduate,1367,6,134.0,122.0,19,0,14,16,16,0,12.2,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,1,0
Dropout,1368,1,140.0,120.0,21,0,7,10,18,0,10.5,Single,General Continent,Social Services and Management,1,02,02,02,"Skilled Workers in Industry, Construction, and Craftsmen",Intermediate Level Technicians and Professions,0,1,1,0
Graduate,1369,1,110.0,114.2,23,0,11,12,14,0,12.928571428571429,Single,Other,Social Services and Management,1,04,02,02,Unskilled Workers,Unskilled Workers,0,1,1,1
Graduate,1370,1,133.1,95.5,29,0,12,12,17,0,13.0,Single,Other,Social Services and Management,0,01,01,01,Administrative Staff,Installation and Machine Operators and Assembly Workers,0,1,1,0
Graduate,1371,1,129.0,120.0,20,0,14,16,16,0,15.028571428571428,Single,General Continent,Health and Care,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,1,0
Graduate,1372,1,116.0,111.1,18,0,12,12,15,0,11.857142857142858,Single,General Continent,Social Services and Management,1,02,02,02,Service Workers and Sellers,Unskilled Workers,0,1,1,0
Graduate,1373,1,130.0,128.6,19,0,10,12,16,0,12.2,Single,General Continent,Social Services and Management,1,02,02,01,Intermediate Level Technicians and Professions,Service Workers and Sellers,0,1,1,0
Dropout,1374,1,130.0,130.0,23,6,6,15,15,4,12.5,Single,Other,Health and Care,1,03,02,01,Administrative Staff,Installation and Machine Operators and Assembly Workers,0,0,1,0
Dropout,1375,1,116.0,111.1,21,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,01,02,Service Workers and Sellers,Professionals and Specialists,0,1,1,0
Enrolled,1376,1,136.0,122.7,18,0,9,10,13,0,12.25,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Intermediate Level Technicians and Professions,0,1,1,0
Graduate,1377,1,147.0,134.4,18,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,01,02,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,1,1
Dropout,1378,5,117.0,131.0,21,0,1,12,13,7,7.0,Single,General Continent,Design and Creativity,1,02,02,01,Service Workers and Sellers,Service Workers and Sellers,1,0,1,0
Dropout,1379,1,141.0,125.0,22,0,0,12,13,0,0.0,Single,Transfer and Change,Social Services and Management,1,02,02,02,Service Workers and Sellers,Unskilled Workers,0,1,1,0
Graduate,1380,1,133.1,106.0,21,0,12,14,19,0,12.479166666666668,Single,General Continent,Health and Care,1,02,03,02,Professionals and Specialists,Installation and Machine Operators and Assembly Workers,0,1,1,0
Dropout,1381,1,133.1,128.0,32,0,0,15,0,0,0.0,Single,Other,Health and Care,1,02,01,02,Unskilled Workers,Unskilled Workers,0,0,1,0
Graduate,1382,1,120.0,120.0,27,24,31,31,37,1,11.248987854251013,Single,Other,Agriculture and Environtment,1,03,02,02,Administrative Staff,Professionals and Specialists,0,1,1,0
Graduate,1383,1,148.0,134.8,18,0,12,14,14,0,13.35,Single,General Continent,Health and Care,1,02,02,01,Unskilled Workers,Installation and Machine Operators and Assembly Workers,0,1,1,0
Graduate,1384,1,130.0,112.0,24,0,8,12,12,0,15.5,Single,Other,Design and Creativity,1,02,02,02,Service Workers and Sellers,Intermediate Level Technicians and Professions,0,1,1,1
Dropout,1385,1,120.0,116.1,22,0,2,10,14,0,5.25,Single,General Continent,Agriculture and Environtment,1,02,02,01,Professionals and Specialists,Unskilled Workers,0,1,1,0
Dropout,1386,1,120.0,120.0,22,0,0,10,6,2,0.0,Single,Transfer and Change,Agriculture and Environtment,1,02,04,03,Intermediate Level Technicians and Professions,Professionals and Specialists,0,0,1,0
Graduate,1387,3,133.0,119.7,19,0,10,10,14,0,12.541666666666668,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Service Workers and Sellers,0,1,1,0
Dropout,1388,6,129.0,117.1,19,0,0,10,15,0,0.0,Single,General Continent,Technology and Engineering,1,02,01,02,Administrative Staff,Other,0,1,1,0
Enrolled,1389,2,118.0,112.4,21,0,7,10,22,4,11.05,Single,General Continent,Health and Care,1,02,02,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,1,0
Graduate,1390,2,140.0,131.0,18,0,16,16,16,0,13.88125,Single,General Continent,Health and Care,1,02,02,02,Professionals and Specialists,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1391,2,127.0,130.9,18,0,11,12,16,0,11.966666666666667,Single,General Continent,Agriculture and Environtment,1,02,03,02,Intermediate Level Technicians and Professions,Armed Forces Professions,0,1,0,0
Dropout,1392,1,131.0,134.9,20,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,02,Unskilled Workers,Unskilled Workers,1,1,0,0
Graduate,1393,1,132.0,127.1,19,0,12,12,14,0,13.261904761904763,Single,General Continent,Social Services and Management,1,02,02,02,Administrative Staff,Unskilled Workers,0,1,0,0
Graduate,1394,5,113.0,110.2,19,0,11,12,12,0,12.05,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",1,1,0,0
Graduate,1395,1,115.0,108.7,18,0,11,12,15,0,11.366666666666667,Single,General Continent,Agriculture and Environtment,1,02,02,02,Unskilled Workers,Intermediate Level Technicians and Professions,0,1,0,1
Enrolled,1396,1,133.1,138.0,20,0,12,12,21,0,13.166666666666668,Single,General Continent,Agriculture and Environtment,1,02,02,02,Intermediate Level Technicians and Professions,Unskilled Workers,0,1,0,0
Graduate,1397,1,150.0,147.7,22,7,16,16,16,0,13.674603174603176,Single,Other,Design and Creativity,1,03,02,01,Intermediate Level Technicians and Professions,Unskilled Workers,1,1,0,1
Graduate,1398,1,133.1,123.0,31,0,13,14,21,0,12.030952380952382,In Relationship,Other,Health and Care,1,01,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,1399,1,141.0,142.8,19,0,14,14,14,0,14.285714285714285,Single,General Continent,Basic Education,1,02,02,02,Unskilled Workers,Installation and Machine Operators and Assembly Workers,0,1,0,1
Enrolled,1400,2,140.0,138.3,18,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,03,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,0,0
Graduate,1401,2,136.0,125.2,18,0,11,12,17,0,12.342857142857143,Single,General Continent,Agriculture and Environtment,1,02,01,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1402,1,140.0,141.8,21,0,10,10,12,0,14.100000000000001,Single,General Continent,Health and Care,1,02,02,02,Professionals and Specialists,Other,0,1,0,0
Graduate,1403,5,143.0,130.6,18,0,15,15,17,0,14.109375,Single,General Continent,Health and Care,1,02,01,02,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Dropout,1404,1,130.0,130.0,25,0,0,10,11,0,0.0,Single,Other,Social Services and Management,1,03,04,01,Professionals and Specialists,Installation and Machine Operators and Assembly Workers,1,0,1,0
Dropout,1405,1,133.1,100.0,21,0,0,11,13,0,0.0,Single,International,Technology and Engineering,1,02,02,03,Service Workers and Sellers,Installation and Machine Operators and Assembly Workers,1,1,1,0
Graduate,1406,2,129.0,119.0,19,0,14,16,16,0,12.342857142857143,Single,General Continent,Health and Care,1,02,01,01,Service Workers and Sellers,Service Workers and Sellers,0,1,0,1
Enrolled,1407,2,132.0,124.3,19,0,10,12,13,0,11.5,Single,General Continent,Social Services and Management,1,02,01,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Dropout,1408,1,118.0,122.2,22,0,5,12,24,0,10.75,Single,General Continent,Agriculture and Environtment,1,02,02,00,Service Workers and Sellers,Students,0,1,0,0
Graduate,1409,1,150.0,150.0,19,0,10,10,13,0,11.1,Single,International,Social Services and Management,1,02,01,02,Unskilled Workers,Professionals and Specialists,0,1,1,0
Dropout,1410,1,133.1,135.5,58,0,0,12,12,0,0.0,Single,Other,Social Services and Management,0,01,01,01,Unskilled Workers,Service Workers and Sellers,0,1,0,0
Graduate,1411,2,122.0,127.3,19,0,10,12,14,0,11.625,Single,Special Contingent,Social Services and Management,1,02,02,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1412,1,127.0,127.0,23,7,16,19,21,0,11.1,Single,Transfer and Change,Social Services and Management,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,1,0
Enrolled,1413,2,122.0,126.9,19,0,7,12,22,0,11.333333333333332,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,1
Graduate,1414,3,131.0,127.5,18,0,15,15,15,0,13.984821428571427,Single,General Continent,Health and Care,1,02,02,02,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,1415,2,130.0,122.0,20,0,9,10,14,0,12.466666666666667,Single,General Continent,Health and Care,1,02,02,02,Other,Other,0,1,0,0
Dropout,1416,5,130.0,115.8,18,0,0,12,0,0,0.0,Single,General Continent,Health and Care,1,02,02,02,Other,"Skilled Workers in Industry, Construction, and Craftsmen",0,0,0,0
Graduate,1417,1,130.0,121.6,18,0,11,12,14,0,13.633333333333333,Single,General Continent,Social Services and Management,1,02,03,02,Service Workers and Sellers,Service Workers and Sellers,0,1,0,0
Graduate,1418,4,122.0,116.4,18,0,10,10,10,0,11.7,Single,General Continent,Social Services and Management,1,02,02,02,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",1,1,0,1
Dropout,1419,1,114.0,120.0,24,0,11,12,19,0,12.702380952380953,Single,Other,Agriculture and Environtment,1,02,01,01,Unskilled Workers,Armed Forces Professions,0,1,0,0
Dropout,1420,4,143.0,127.3,18,0,10,12,14,0,11.600000000000001,Single,General Continent,Basic Education,1,02,01,01,Unskilled Workers,Service Workers and Sellers,0,1,0,0
Enrolled,1421,3,127.0,123.5,19,0,8,10,16,0,12.133333333333333,Single,General Continent,Social Services and Management,1,02,02,01,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1422,3,141.0,125.6,19,0,12,12,14,0,11.583333333333334,Single,General Continent,Social Services and Management,1,02,02,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1423,1,129.0,118.5,18,0,12,12,12,0,11.083333333333332,Single,General Continent,Agriculture and Environtment,1,02,01,01,Agricultural and Forestry Workers,Agricultural and Forestry Workers,0,1,0,0
Enrolled,1424,2,140.0,129.5,18,0,9,10,15,1,13.45,Single,General Continent,Agriculture and Environtment,1,02,02,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,1425,1,137.0,134.6,19,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,02,Service Workers and Sellers,Service Workers and Sellers,0,1,0,1
Graduate,1426,1,140.0,140.0,22,3,10,12,18,0,12.416666666666668,Single,Other,Health and Care,1,02,05,05,Professionals and Specialists,Agricultural and Forestry Workers,0,1,0,0
Enrolled,1427,1,143.0,133.2,19,0,7,12,25,0,13.45,Single,General Continent,Agriculture and Environtment,1,02,04,01,Professionals and Specialists,Professionals and Specialists,0,1,0,0
Enrolled,1428,1,138.0,133.5,21,0,7,12,21,0,11.225,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,1
Graduate,1429,1,120.0,117.9,21,0,11,12,13,0,12.916666666666668,Single,General Continent,Social Services and Management,1,02,02,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1430,3,144.0,128.0,18,0,14,16,22,0,12.90857142857143,Single,General Continent,Health and Care,1,02,01,01,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Dropout,1431,5,123.0,113.2,20,0,5,12,23,0,11.0,Single,General Continent,Basic Education,1,02,02,01,Administrative Staff,Unskilled Workers,0,1,0,0
Enrolled,1432,3,129.0,122.0,18,0,11,12,17,0,10.916666666666668,Single,General Continent,Agriculture and Environtment,1,02,01,01,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,1433,3,152.0,156.9,19,0,12,12,15,0,15.583333333333334,Single,Special Contingent,Design and Creativity,1,02,02,01,Administrative Staff,Installation and Machine Operators and Assembly Workers,0,1,0,0
Enrolled,1434,2,130.0,125.1,18,0,12,15,20,0,12.845833333333335,Single,General Continent,Health and Care,1,02,02,01,Unskilled Workers,Unskilled Workers,0,1,0,1
Dropout,1435,1,133.1,100.0,26,8,8,13,13,0,13.5,Single,International,Social Services and Management,1,02,07,02,Intermediate Level Technicians and Professions,Administrative Staff,1,0,1,0
Enrolled,1436,1,160.0,160.0,19,0,4,11,22,1,12.25,Single,International,Technology and Engineering,1,02,02,03,Intermediate Level Technicians and Professions,Service Workers and Sellers,1,1,0,0
Graduate,1437,1,140.0,101.0,35,0,12,12,13,0,12.333333333333332,In Relationship,Other,Social Services and Management,0,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,1438,1,133.0,121.5,19,0,12,12,13,0,13.666666666666668,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,1
Graduate,1439,1,138.0,126.8,18,0,9,10,16,1,12.160714285714285,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Agricultural and Forestry Workers,0,1,1,0
Graduate,1440,5,142.0,132.9,19,0,8,10,10,0,13.375,Single,General Continent,Social Services and Management,1,02,02,02,"Skilled Workers in Industry, Construction, and Craftsmen",Intermediate Level Technicians and Professions,0,1,1,0
